geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Salt Lake City,driving,NA,Utah,United States,2020-10-01,145.65
city,Salt Lake City,driving,NA,Utah,United States,2020-10-02,165.01
city,Salt Lake City,driving,NA,Utah,United States,2020-10-03,159.31
city,Salt Lake City,driving,NA,Utah,United States,2020-10-04,92.91
city,Salt Lake City,driving,NA,Utah,United States,2020-10-05,129.15
city,Salt Lake City,driving,NA,Utah,United States,2020-10-06,133.17
city,Salt Lake City,driving,NA,Utah,United States,2020-10-07,136.9
city,Salt Lake City,driving,NA,Utah,United States,2020-10-08,144.35
city,Salt Lake City,driving,NA,Utah,United States,2020-10-09,170.22
city,Salt Lake City,driving,NA,Utah,United States,2020-10-10,174.23
city,Salt Lake City,driving,NA,Utah,United States,2020-10-11,93.74
city,Salt Lake City,driving,NA,Utah,United States,2020-10-12,129.29
city,Salt Lake City,driving,NA,Utah,United States,2020-10-13,129.09
city,Salt Lake City,driving,NA,Utah,United States,2020-10-14,135.42
city,Salt Lake City,driving,NA,Utah,United States,2020-10-15,142.92
city,Salt Lake City,driving,NA,Utah,United States,2020-10-16,160.08
city,Salt Lake City,driving,NA,Utah,United States,2020-10-17,157.1
city,Salt Lake City,driving,NA,Utah,United States,2020-10-18,93.66
city,Salt Lake City,driving,NA,Utah,United States,2020-10-19,127.76
city,Salt Lake City,driving,NA,Utah,United States,2020-10-20,129.68
city,Salt Lake City,driving,NA,Utah,United States,2020-10-21,133.54
city,Salt Lake City,driving,NA,Utah,United States,2020-10-22,135.74
city,Salt Lake City,driving,NA,Utah,United States,2020-10-23,161.98
city,Salt Lake City,driving,NA,Utah,United States,2020-10-24,160.26
city,Salt Lake City,driving,NA,Utah,United States,2020-10-25,80.39
city,Salt Lake City,driving,NA,Utah,United States,2020-10-26,122.34
city,Salt Lake City,driving,NA,Utah,United States,2020-10-27,127.07
city,Salt Lake City,driving,NA,Utah,United States,2020-10-28,127.27
city,Salt Lake City,driving,NA,Utah,United States,2020-10-29,136.42
city,Salt Lake City,driving,NA,Utah,United States,2020-10-30,156.77
city,Salt Lake City,driving,NA,Utah,United States,2020-10-31,139.69
city,Salt Lake City,driving,NA,Utah,United States,2020-11-01,85.86
city,Salt Lake City,driving,NA,Utah,United States,2020-11-02,115.92
city,Salt Lake City,driving,NA,Utah,United States,2020-11-03,117.47
city,Salt Lake City,driving,NA,Utah,United States,2020-11-04,111.48
city,Salt Lake City,driving,NA,Utah,United States,2020-11-05,121.97
city,Salt Lake City,driving,NA,Utah,United States,2020-11-06,139.27
city,Salt Lake City,driving,NA,Utah,United States,2020-11-07,125.24
city,Salt Lake City,driving,NA,Utah,United States,2020-11-08,67.94
city,Salt Lake City,driving,NA,Utah,United States,2020-11-09,99.12
city,Salt Lake City,driving,NA,Utah,United States,2020-11-10,104.01
city,Salt Lake City,driving,NA,Utah,United States,2020-11-11,104.36
city,Salt Lake City,driving,NA,Utah,United States,2020-11-12,101.88
city,Salt Lake City,driving,NA,Utah,United States,2020-11-13,120.8
city,Salt Lake City,driving,NA,Utah,United States,2020-11-14,109.92
city,Salt Lake City,driving,NA,Utah,United States,2020-11-15,66.63
city,Salt Lake City,driving,NA,Utah,United States,2020-11-16,102.42
city,Salt Lake City,driving,NA,Utah,United States,2020-11-17,105.87
city,Salt Lake City,driving,NA,Utah,United States,2020-11-18,105.3
city,Salt Lake City,driving,NA,Utah,United States,2020-11-19,110.71
city,Salt Lake City,driving,NA,Utah,United States,2020-11-20,126.36
city,Salt Lake City,driving,NA,Utah,United States,2020-11-21,117.81
city,Salt Lake City,driving,NA,Utah,United States,2020-11-22,72.42
city,Salt Lake City,driving,NA,Utah,United States,2020-11-23,107.98
city,Salt Lake City,driving,NA,Utah,United States,2020-11-24,115
city,Salt Lake City,driving,NA,Utah,United States,2020-11-25,120
city,Salt Lake City,driving,NA,Utah,United States,2020-11-26,50.14
city,Salt Lake City,driving,NA,Utah,United States,2020-11-27,100.64
city,Salt Lake City,driving,NA,Utah,United States,2020-11-28,103.72
city,Salt Lake City,driving,NA,Utah,United States,2020-11-29,69.17
city,Salt Lake City,driving,NA,Utah,United States,2020-11-30,104.62
city,Salt Lake City,driving,NA,Utah,United States,2020-12-01,106.49
city,Salt Lake City,driving,NA,Utah,United States,2020-12-02,107.63
city,Salt Lake City,driving,NA,Utah,United States,2020-12-03,111.47
city,Salt Lake City,driving,NA,Utah,United States,2020-12-04,130.91
city,Salt Lake City,driving,NA,Utah,United States,2020-12-05,126.72
city,Salt Lake City,driving,NA,Utah,United States,2020-12-06,73.15
city,Salt Lake City,driving,NA,Utah,United States,2020-12-07,109.05
city,Salt Lake City,driving,NA,Utah,United States,2020-12-08,110.39
city,Salt Lake City,driving,NA,Utah,United States,2020-12-09,112.84
city,Salt Lake City,driving,NA,Utah,United States,2020-12-10,115.91
city,Salt Lake City,driving,NA,Utah,United States,2020-12-11,134.1
city,Salt Lake City,driving,NA,Utah,United States,2020-12-12,126.6
city,Salt Lake City,driving,NA,Utah,United States,2020-12-13,76.15
city,Salt Lake City,driving,NA,Utah,United States,2020-12-14,107.69
city,Salt Lake City,driving,NA,Utah,United States,2020-12-15,116.11
city,Salt Lake City,driving,NA,Utah,United States,2020-12-16,124.51
city,Salt Lake City,driving,NA,Utah,United States,2020-12-17,121.39
city,Salt Lake City,driving,NA,Utah,United States,2020-12-18,147.66
city,Salt Lake City,driving,NA,Utah,United States,2020-12-19,139.73
city,Salt Lake City,driving,NA,Utah,United States,2020-12-20,86.03
city,Salt Lake City,driving,NA,Utah,United States,2020-12-21,138.67
