geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-09,123.96
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-10,123.62
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-11,129.12
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-12,113.14
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-13,143.79
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-14,149.57
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-15,124.41
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-16,113.43
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-17,110.61
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-18,108.1
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-19,111.75
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-20,135.12
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-21,142.56
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-22,104.91
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-23,105.82
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-24,118.78
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-25,122.26
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-26,60.62
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-27,142.23
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-28,138.02
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-29,111.5
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-30,97.97
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-01,110.43
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-02,105.26
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-03,108.72
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-04,125.52
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-05,82.15
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-06,99.92
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-07,122.68
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-08,111.33
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-09,116.33
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-10,111.33
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-11,130.58
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-12,137.6
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-13,105.01
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-14,108.75
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-15,114.8
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-16,110.49
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-17,52.72
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-18,144.58
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-19,146.59
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-20,107.43
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-21,127.85
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-22,138.47
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-23,139.21
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-24,100.54
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-25,55.31
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-26,131.43
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-27,126.61
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-28,141.91
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-29,160.22
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-30,168.7
county,Belknap County,driving,NA,New Hampshire,United States,2020-12-31,169.22
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-01,145.3
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-02,143.05
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-03,128.48
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-04,114.43
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-05,122.7
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-06,121.59
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-07,147.81
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-08,156.48
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-09,166.97
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-10,140.37
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-11,118.88
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-12,125.88
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-13,120.7
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-14,131.06
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-15,163.24
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-16,149.86
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-17,154.95
county,Belknap County,driving,NA,New Hampshire,United States,2021-01-18,149.34
